year,İBBS3,city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,returned,area
2020,TR812,Karabük,234171.0,19195,7383,11812,11952,7243,89,4142
2020,TR813,Bartın,197422.0,13845,4673,9172,7362,6483,68,2330
2020,TR821,Kastamonu,370459.0,27044,10356,16688,15614,11430,149,13064
2020,TR822,Çankırı,186603.0,13741,5290,8451,8530,5211,161,7542
2020,TR823,Sinop,214076.0,13874,4530,9344,8790,5084,89,5717
2020,TR831,Samsun,1327875.0,121046,57997,63049,64198,56848,725,9725
2020,TR832,Tokat,591518.0,43127,18231,24896,25439,17688,240,10042
2020,TR833,Çorum,519193.0,41330,15415,25915,21790,19540,342,12428
2020,TR834,Amasya,331263.0,24825,8657,16168,15640,9185,78,5628
2020,TR901,Trabzon,799276.0,48505,20186,28319,27750,20755,398,4628
2020,TR902,Ordu,754282.0,50148,16826,33322,32231,17917,166,5914
2020,TR903,Giresun,443544.0,28392,10648,17744,17003,11389,241,6972
2020,TR904,Rize,342769.0,23988,9916,14072,13354,10634,137,3835
2020,TR905,Artvin,168860.0,13727,5690,8037,8143,5584,196,7393
2020,TR906,Gümüşhane,139712.0,7870,2705,5165,4489,3381,31,6668
2020,TRA11,Erzurum,753742.0,45336,20865,24471,26152,19184,218,25006
2020,TRA12,Erzincan,231126.0,16230,6306,9924,9641,6589,178,11815
2020,TRA13,Bayburt,81372.0,4249,1742,2507,2413,1836,31,3746
2020,TRA21,Ağrı,534586.0,40362,22509,17853,19767,20595,343,11099
2020,TRA22,Kars,283159.0,18691,6559,12132,10942,7749,127,10193
2020,TRA23,Iğdır,200635.0,17114,7990,9124,8196,8918,181,3664
2020,TRA24,Ardahan,95920.0,8266,3406,4860,4639,3627,38,4934
2020,TRB11,Malatya,801767.0,64356,28101,36255,38795,25561,282,12259
2020,TRB12,Elazığ,585450.0,41740,20007,21733,21885,19855,297,9383
2020,TRB13,Bingöl,281433.0,18885,9035,9850,9109,9776,72,8003
2020,TRB14,Tunceli,83157.0,11628,5799,5829,5492,6136,69,7582
2020,TRB21,Van,1145279.0,75523,41267,34256,34670,40853,508,20921
