city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,time_since_event,population_density
Ağrı,534586.0,40362,22509,17853,19767,20595,4,48.16524011172178
Kars,283159.0,18691,6559,12132,10942,7749,4,27.779750809378985
Iğdır,200635.0,17114,7990,9124,8196,8918,4,54.75846069868996
Ardahan,95920.0,8266,3406,4860,4639,3627,4,19.440616132955007
Malatya,801767.0,64356,28101,36255,38795,25561,4,65.40231666530713
Elazığ,585450.0,41740,20007,21733,21885,19855,4,62.394756474475116
Bingöl,281433.0,18885,9035,9850,9109,9776,4,35.165937773335
Tunceli,83157.0,11628,5799,5829,5492,6136,4,10.967686626219995
Van,1145279.0,75523,41267,34256,34670,40853,4,54.74303331580708
Muş,410692.0,25840,13165,12675,13282,12558,4,47.10851112640514
Bitlis,350663.0,23277,12108,11169,10503,12774,4,42.27911743428985
Hakkari,279858.0,24571,13266,11305,10800,13771,4,39.44439746300211
Gaziantep,2085795.0,311024,199331,111693,89504,221520,4,306.59929442892843
Adıyaman,631039.0,34792,16180,18612,17924,16868,4,86.0077688428513
Kilis,141454.0,18356,9895,8461,8842,9514,4,100.1798866855524
Şanlıurfa,2108013.0,163495,90053,73442,74261,89234,4,109.5526972248207
Diyarbakır,1782256.0,215653,129813,85840,75938,139715,4,118.02238262366731
Mardin,851922.0,55788,24563,31225,28023,27765,4,97.02984054669705
Batman,619021.0,52317,29387,22930,21508,30809,4,138.26691981237437
Şırnak,536990.0,44182,24669,19513,15887,28295,4,75.86747668833004
Siirt,330374.0,22710,11026,11684,10263,12447,4,57.788000699667656
İstanbul,14921827.0,2243323,1442784,800539,784618,1458705,5,2732.434902032595
Tekirdağ,1048506.0,129296,62444,66852,71356,57940,5,169.3870759289176
Edirne,408482.0,51183,24171,27012,27693,23490,5,66.47388120423108
Kırklareli,358941.0,31793,13018,18775,20013,11780,5,55.57222480260102
Balıkesir,1217757.0,133056,66213,66843,69815,63241,5,83.50524583419049
Çanakkale,535060.0,56031,23604,32427,32257,23774,5,54.503412447794645
İzmir,4333920.0,549943,295200,254743,255192,294751,5,364.47060802287444
Aydın,1100545.0,167058,83601,83457,81331,85727,5,135.60189748644652
Denizli,1023955.0,107162,47618,59544,60223,46939,5,84.38725894181638
Muğla,962878.0,138881,62485,76396,78636,60245,5,76.09277698751383
